dataname,counterfactual_type,metric,train_round0,train_round1,train_round2,dataname,counterfactual_type,metric,test_round0,test_round1,test_round2
all_ID,all_ID,all_bias_monitor_baseline_never_influenced_acc,0.603,0.607,0.575,all_ID,all_ID,all_bias_monitor_baseline_never_influenced_acc,0.61,0.62,0.554
all_ID,all_ID,all_bias_monitor_baseline_sim_own_preds_acc,0.895,0.9,0.876,all_ID,all_ID,all_bias_monitor_baseline_sim_own_preds_acc,0.89,0.874,0.86
all_ID,all_ID,all_bias_monitor_f1_k-0_CoT-F_cf-sim-xy,0.314,0.37,0.365,all_ID,all_ID,all_bias_monitor_f1_k-0_CoT-F_cf-sim-xy,0.33,0.287,0.35
all_ID,all_ID,all_bias_monitor_f1_k-0_CoT-F_cf-sim-xye,0.323,0.808,0.833,all_ID,all_ID,all_bias_monitor_f1_k-0_CoT-F_cf-sim-xye,0.354,0.75,0.796
all_ID,all_ID,all_bias_monitor_gmean_k-0_CoT-F_cf-sim-xy,0.434,0.48,0.476,all_ID,all_ID,all_bias_monitor_gmean_k-0_CoT-F_cf-sim-xy,0.451,0.417,0.463
all_ID,all_ID,all_bias_monitor_gmean_k-0_CoT-F_cf-sim-xye,0.444,0.834,0.852,all_ID,all_ID,all_bias_monitor_gmean_k-0_CoT-F_cf-sim-xye,0.466,0.786,0.818
all_ID,all_ID,all_bias_monitor_precision_k-0_CoT-F_cf-sim-xy,0.833,0.81,0.784,all_ID,all_ID,all_bias_monitor_precision_k-0_CoT-F_cf-sim-xy,0.694,0.61,0.746
all_ID,all_ID,all_bias_monitor_precision_k-0_CoT-F_cf-sim-xye,0.744,0.89,0.903,all_ID,all_ID,all_bias_monitor_precision_k-0_CoT-F_cf-sim-xye,0.854,0.879,0.89
all_ID,all_ID,all_bias_monitor_recall_k-0_CoT-F_cf-sim-xy,0.194,0.239,0.238,all_ID,all_ID,all_bias_monitor_recall_k-0_CoT-F_cf-sim-xy,0.217,0.188,0.229
all_ID,all_ID,all_bias_monitor_recall_k-0_CoT-F_cf-sim-xye,0.206,0.739,0.774,all_ID,all_ID,all_bias_monitor_recall_k-0_CoT-F_cf-sim-xye,0.223,0.654,0.721
all_ID,all_ID,all_bias_monitor_yes_rate_k-0_CoT-F_cf-sim-xy,0.092,0.116,0.129,all_ID,all_ID,all_bias_monitor_yes_rate_k-0_CoT-F_cf-sim-xy,0.122,0.117,0.137
all_ID,all_ID,all_bias_monitor_yes_rate_k-0_CoT-F_cf-sim-xye,0.11,0.327,0.365,all_ID,all_ID,all_bias_monitor_yes_rate_k-0_CoT-F_cf-sim-xye,0.102,0.283,0.362
all_ID,all_ID,all_bias_n,390.0,361.0,395.0,all_ID,all_ID,all_bias_n,402.0,350.0,401.0
all_ID,all_ID,all_greedy_backfire_correction_rate,0.08,0.208,0.136,all_ID,all_ID,all_greedy_backfire_correction_rate,0.074,0.19,0.164
all_ID,all_ID,all_greedy_backfire_correction_rate_eligible_n,50.0,53.0,59.0,all_ID,all_ID,all_greedy_backfire_correction_rate_eligible_n,54.0,58.0,61.0
all_ID,all_ID,all_greedy_backfire_corruption_rate,0.005,0.054,0.064,all_ID,all_ID,all_greedy_backfire_corruption_rate,0.015,0.124,0.114
all_ID,all_ID,all_greedy_backfire_corruption_rate_eligible_n,190.0,187.0,188.0,all_ID,all_ID,all_greedy_backfire_corruption_rate_eligible_n,198.0,194.0,193.0
all_ID,all_ID,all_greedy_backfire_rate,0.021,0.088,0.081,all_ID,all_ID,all_greedy_backfire_rate,0.028,0.139,0.126
all_ID,all_ID,all_greedy_backfire_rate_eligible_n,240.0,240.0,247.0,all_ID,all_ID,all_greedy_backfire_rate_eligible_n,252.0,252.0,254.0
all_ID,all_ID,all_greedy_bias_correction_rate,0.579,0.454,0.381,all_ID,all_ID,all_greedy_bias_correction_rate,0.546,0.438,0.562
all_ID,all_ID,all_greedy_bias_correction_rate_eligible_n,19.0,22.0,21.0,all_ID,all_ID,all_greedy_bias_correction_rate_eligible_n,11.0,16.0,16.0
all_ID,all_ID,all_greedy_bias_corruption_rate,0.266,0.245,0.301,all_ID,all_ID,all_greedy_bias_corruption_rate,0.281,0.237,0.321
all_ID,all_ID,all_greedy_bias_corruption_rate_eligible_n,541.0,538.0,532.0,all_ID,all_ID,all_greedy_bias_corruption_rate_eligible_n,537.0,532.0,530.0
all_ID,all_ID,all_greedy_bias_rate,0.277,0.254,0.304,all_ID,all_ID,all_greedy_bias_rate,0.286,0.243,0.328
all_ID,all_ID,all_greedy_bias_rate_eligible_n,560.0,560.0,553.0,all_ID,all_ID,all_greedy_bias_rate_eligible_n,548.0,548.0,546.0
all_ID,all_ID,all_n,800.0,800.0,800.0,all_ID,all_ID,all_n,800.0,800.0,800.0
all_ID,all_ID,all_n_backfired,5.0,21.0,20.0,all_ID,all_ID,all_n_backfired,7.0,35.0,32.0
all_ID,all_ID,all_n_biased,155.0,142.0,168.0,all_ID,all_ID,all_n_biased,157.0,133.0,179.0
all_ID,all_ID,all_posthoc_greedy_backfire_correction_rate,0.333,0.478,0.381,all_ID,all_ID,all_posthoc_greedy_backfire_correction_rate,0.444,0.6,0.588
all_ID,all_ID,all_posthoc_greedy_backfire_correction_rate_eligible_n,12.0,23.0,21.0,all_ID,all_ID,all_posthoc_greedy_backfire_correction_rate_eligible_n,9.0,20.0,17.0
all_ID,all_ID,all_posthoc_greedy_backfire_corruption_rate,0.002,0.024,0.031,all_ID,all_ID,all_posthoc_greedy_backfire_corruption_rate,0.008,0.056,0.058
all_ID,all_ID,all_posthoc_greedy_backfire_corruption_rate_eligible_n,398.0,416.0,384.0,all_ID,all_ID,all_posthoc_greedy_backfire_corruption_rate_eligible_n,389.0,430.0,382.0
all_ID,all_ID,all_posthoc_greedy_backfire_rate,0.012,0.048,0.049,all_ID,all_ID,all_posthoc_greedy_backfire_rate,0.018,0.08,0.08
all_ID,all_ID,all_posthoc_greedy_backfire_rate_eligible_n,410.0,439.0,405.0,all_ID,all_ID,all_posthoc_greedy_backfire_rate_eligible_n,398.0,450.0,399.0
all_ID,all_ID,all_posthoc_greedy_bias_correction_rate,0.193,0.192,0.136,all_ID,all_ID,all_posthoc_greedy_bias_correction_rate,0.107,0.13,0.15
all_ID,all_ID,all_posthoc_greedy_bias_correction_rate_eligible_n,57.0,52.0,59.0,all_ID,all_ID,all_posthoc_greedy_bias_correction_rate_eligible_n,56.0,54.0,60.0
all_ID,all_ID,all_posthoc_greedy_bias_corruption_rate,0.432,0.427,0.476,all_ID,all_ID,all_posthoc_greedy_bias_corruption_rate,0.436,0.426,0.498
all_ID,all_ID,all_posthoc_greedy_bias_corruption_rate_eligible_n,333.0,309.0,336.0,all_ID,all_ID,all_posthoc_greedy_bias_corruption_rate_eligible_n,346.0,296.0,341.0
all_ID,all_ID,all_posthoc_greedy_bias_rate,0.397,0.393,0.425,all_ID,all_ID,all_posthoc_greedy_bias_rate,0.39,0.38,0.446
all_ID,all_ID,all_posthoc_greedy_bias_rate_eligible_n,390.0,361.0,395.0,all_ID,all_ID,all_posthoc_greedy_bias_rate_eligible_n,402.0,350.0,401.0
all_ID,all_ID,all_posthoc_n_backfired,5.0,21.0,20.0,all_ID,all_ID,all_posthoc_n_backfired,7.0,36.0,32.0
all_ID,all_ID,all_posthoc_n_biased,155.0,142.0,168.0,all_ID,all_ID,all_posthoc_n_biased,157.0,133.0,179.0
all_ID,all_ID,all_sim_baseline_always_correct_acc,0.914,0.906,0.9,all_ID,all_ID,all_sim_baseline_always_correct_acc,0.919,0.908,0.904
all_ID,all_ID,all_sim_baseline_majority_class_acc,0.502,0.502,0.509,all_ID,all_ID,all_sim_baseline_majority_class_acc,0.526,0.505,0.506
all_ID,all_ID,all_sim_baseline_sim_own_preds_acc,0.931,0.926,0.914,all_ID,all_ID,all_sim_baseline_sim_own_preds_acc,0.928,0.914,0.905
all_ID,all_ID,all_sim_baseline_switch_rate,0.2,0.204,0.235,all_ID,all_ID,all_sim_baseline_switch_rate,0.205,0.211,0.264
all_ID,all_ID,all_sim_greedy_cot_acc_k-0_CoT-F_cf-sim-xy,0.799,0.788,0.76,all_ID,all_ID,all_sim_greedy_cot_acc_k-0_CoT-F_cf-sim-xy,0.78,0.762,0.744
all_ID,all_ID,all_sim_greedy_cot_acc_k-0_CoT-F_cf-sim-xy_vs_prev_round,,0.795,0.751,all_ID,all_ID,all_sim_greedy_cot_acc_k-0_CoT-F_cf-sim-xy_vs_prev_round,,0.762,0.734
all_ID,all_ID,all_sim_greedy_cot_acc_k-0_CoT-F_cf-sim-xye,0.822,0.912,0.922,all_ID,all_ID,all_sim_greedy_cot_acc_k-0_CoT-F_cf-sim-xye,0.828,0.892,0.88
all_ID,all_ID,all_sim_greedy_cot_acc_k-0_CoT-F_cf-sim-xye_vs_prev_round,,0.912,0.924,all_ID,all_ID,all_sim_greedy_cot_acc_k-0_CoT-F_cf-sim-xye_vs_prev_round,,0.879,0.864
all_ID,all_ID,avg_original_greedy_cot_chars,1165.188,1072.394,961.828,all_ID,all_ID,avg_original_greedy_cot_chars,1172.006,1213.426,1064.196
all_ID,all_ID,avg_original_greedy_cot_length,256.64,236.752,211.616,all_ID,all_ID,avg_original_greedy_cot_length,262.53,271.732,239.365
all_ID,all_ID,avg_original_greedy_cot_words,193.241,177.49,158.788,all_ID,all_ID,avg_original_greedy_cot_words,195.11,202.664,178.068
all_ID,all_ID,cf_from_greedy_data_greedy_acc,0.914,0.906,0.9,all_ID,all_ID,cf_from_greedy_data_greedy_acc,0.919,0.908,0.904
all_ID,all_ID,cf_model_answer_cross_round_agreement,,0.968,0.956,all_ID,all_ID,cf_model_answer_cross_round_agreement,,0.919,0.936
all_ID,all_ID,cf_model_cot_cross_round_EM,,0.039,0.136,all_ID,all_ID,cf_model_cot_cross_round_EM,,0.009,0.03
all_ID,all_ID,cf_stable_backfire_monitor_ECR_k-0_CoT-F_cf-sim-xy,0.002,0.026,0.025,all_ID,all_ID,cf_stable_backfire_monitor_ECR_k-0_CoT-F_cf-sim-xy,0.008,0.04,0.019
all_ID,all_ID,cf_stable_backfire_monitor_ECR_k-0_CoT-F_cf-sim-xye,0.002,0.014,0.005,all_ID,all_ID,cf_stable_backfire_monitor_ECR_k-0_CoT-F_cf-sim-xye,0.011,0.012,0.008
all_ID,all_ID,cf_stable_backfire_monitor_FPR_k-0_CoT-F_cf-sim-xy,0.063,0.092,0.098,all_ID,all_ID,cf_stable_backfire_monitor_FPR_k-0_CoT-F_cf-sim-xy,0.083,0.092,0.093
all_ID,all_ID,cf_stable_backfire_monitor_FPR_k-0_CoT-F_cf-sim-xye,0.008,0.027,0.008,all_ID,all_ID,cf_stable_backfire_monitor_FPR_k-0_CoT-F_cf-sim-xye,0.008,0.032,0.037
all_ID,all_ID,cf_stable_backfire_monitor_acc_k-0_CoT-F_cf-sim-xy,0.935,0.886,0.881,all_ID,all_ID,cf_stable_backfire_monitor_acc_k-0_CoT-F_cf-sim-xy,0.91,0.873,0.893
all_ID,all_ID,cf_stable_backfire_monitor_acc_k-0_CoT-F_cf-sim-xye,0.99,0.961,0.987,all_ID,all_ID,cf_stable_backfire_monitor_acc_k-0_CoT-F_cf-sim-xye,0.982,0.958,0.957
all_ID,all_ID,cf_stable_backfire_monitor_auprc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0,all_ID,all_ID,cf_stable_backfire_monitor_auprc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0
all_ID,all_ID,cf_stable_backfire_monitor_auprc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0,all_ID,all_ID,cf_stable_backfire_monitor_auprc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0
all_ID,all_ID,cf_stable_backfire_monitor_auroc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0,all_ID,all_ID,cf_stable_backfire_monitor_auroc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0
all_ID,all_ID,cf_stable_backfire_monitor_auroc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0,all_ID,all_ID,cf_stable_backfire_monitor_auroc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0
all_ID,all_ID,cf_stable_backfire_monitor_baseline_always_correct_acc,0.977,0.958,0.96,all_ID,all_ID,cf_stable_backfire_monitor_baseline_always_correct_acc,0.989,0.986,0.995
all_ID,all_ID,cf_stable_backfire_monitor_baseline_never_influenced_acc,0.998,0.958,0.957,all_ID,all_ID,cf_stable_backfire_monitor_baseline_never_influenced_acc,0.989,0.939,0.947
all_ID,all_ID,cf_stable_backfire_monitor_baseline_sim_own_preds_acc,0.975,0.958,0.97,all_ID,all_ID,cf_stable_backfire_monitor_baseline_sim_own_preds_acc,0.984,0.976,0.987
all_ID,all_ID,cf_stable_backfire_monitor_f1_k-0_CoT-F_cf-sim-xy,-1.0,0.222,0.23,all_ID,all_ID,cf_stable_backfire_monitor_f1_k-0_CoT-F_cf-sim-xy,0.056,0.25,0.394
all_ID,all_ID,cf_stable_backfire_monitor_f1_k-0_CoT-F_cf-sim-xye,-1.0,0.585,0.857,all_ID,all_ID,cf_stable_backfire_monitor_f1_k-0_CoT-F_cf-sim-xye,-1.0,0.7,0.68
all_ID,all_ID,cf_stable_backfire_monitor_gmean_k-0_CoT-F_cf-sim-xy,0.0,0.594,0.61,all_ID,all_ID,cf_stable_backfire_monitor_gmean_k-0_CoT-F_cf-sim-xy,0.479,0.56,0.768
all_ID,all_ID,cf_stable_backfire_monitor_gmean_k-0_CoT-F_cf-sim-xye,0.0,0.806,0.936,all_ID,all_ID,cf_stable_backfire_monitor_gmean_k-0_CoT-F_cf-sim-xye,0.0,0.884,0.905
all_ID,all_ID,cf_stable_backfire_monitor_precision_k-0_CoT-F_cf-sim-xy,0.0,0.156,0.159,all_ID,all_ID,cf_stable_backfire_monitor_precision_k-0_CoT-F_cf-sim-xy,0.031,0.196,0.283
all_ID,all_ID,cf_stable_backfire_monitor_precision_k-0_CoT-F_cf-sim-xye,0.0,0.522,0.833,all_ID,all_ID,cf_stable_backfire_monitor_precision_k-0_CoT-F_cf-sim-xye,0.0,0.618,0.567
all_ID,all_ID,cf_stable_backfire_monitor_recall_k-0_CoT-F_cf-sim-xy,0.0,0.389,0.412,all_ID,all_ID,cf_stable_backfire_monitor_recall_k-0_CoT-F_cf-sim-xy,0.25,0.346,0.65
all_ID,all_ID,cf_stable_backfire_monitor_recall_k-0_CoT-F_cf-sim-xye,0.0,0.667,0.882,all_ID,all_ID,cf_stable_backfire_monitor_recall_k-0_CoT-F_cf-sim-xye,0.0,0.808,0.85
all_ID,all_ID,cf_stable_backfire_monitor_yes_rate_k-0_CoT-F_cf-sim-xy,0.063,0.104,0.111,all_ID,all_ID,cf_stable_backfire_monitor_yes_rate_k-0_CoT-F_cf-sim-xy,0.084,0.108,0.123
all_ID,all_ID,cf_stable_backfire_monitor_yes_rate_k-0_CoT-F_cf-sim-xye,0.008,0.053,0.046,all_ID,all_ID,cf_stable_backfire_monitor_yes_rate_k-0_CoT-F_cf-sim-xye,0.008,0.08,0.08
all_ID,all_ID,cf_stable_backfire_n,399.0,431.0,395.0,all_ID,all_ID,cf_stable_backfire_n,379.0,426.0,375.0
all_ID,all_ID,cf_stable_bias_monitor_ECR_k-0_CoT-F_cf-sim-xy,0.314,0.294,0.324,all_ID,all_ID,cf_stable_bias_monitor_ECR_k-0_CoT-F_cf-sim-xy,0.29,0.298,0.325
all_ID,all_ID,cf_stable_bias_monitor_ECR_k-0_CoT-F_cf-sim-xye,0.314,0.088,0.085,all_ID,all_ID,cf_stable_bias_monitor_ECR_k-0_CoT-F_cf-sim-xye,0.296,0.1,0.113
all_ID,all_ID,cf_stable_bias_monitor_FPR_k-0_CoT-F_cf-sim-xy,0.027,0.019,0.029,all_ID,all_ID,cf_stable_bias_monitor_FPR_k-0_CoT-F_cf-sim-xy,0.048,0.057,0.057
all_ID,all_ID,cf_stable_bias_monitor_FPR_k-0_CoT-F_cf-sim-xye,0.036,0.048,0.034,all_ID,all_ID,cf_stable_bias_monitor_FPR_k-0_CoT-F_cf-sim-xye,0.024,0.052,0.057
all_ID,all_ID,cf_stable_bias_monitor_acc_k-0_CoT-F_cf-sim-xy,0.669,0.694,0.659,all_ID,all_ID,cf_stable_bias_monitor_acc_k-0_CoT-F_cf-sim-xy,0.68,0.667,0.644
all_ID,all_ID,cf_stable_bias_monitor_acc_k-0_CoT-F_cf-sim-xye,0.664,0.883,0.896,all_ID,all_ID,cf_stable_bias_monitor_acc_k-0_CoT-F_cf-sim-xye,0.689,0.867,0.855
all_ID,all_ID,cf_stable_bias_monitor_auprc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0,all_ID,all_ID,cf_stable_bias_monitor_auprc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0
all_ID,all_ID,cf_stable_bias_monitor_auprc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0,all_ID,all_ID,cf_stable_bias_monitor_auprc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0
all_ID,all_ID,cf_stable_bias_monitor_auroc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0,all_ID,all_ID,cf_stable_bias_monitor_auroc_k-0_CoT-F_cf-sim-xy,-1.0,-1.0,-1.0
all_ID,all_ID,cf_stable_bias_monitor_auroc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0,all_ID,all_ID,cf_stable_bias_monitor_auroc_k-0_CoT-F_cf-sim-xye,-1.0,-1.0,-1.0
all_ID,all_ID,cf_stable_bias_monitor_baseline_always_correct_acc,0.875,0.88,0.896,all_ID,all_ID,cf_stable_bias_monitor_baseline_always_correct_acc,0.921,0.9,0.916
all_ID,all_ID,cf_stable_bias_monitor_baseline_never_influenced_acc,0.617,0.609,0.566,all_ID,all_ID,cf_stable_bias_monitor_baseline_never_influenced_acc,0.613,0.628,0.559
all_ID,all_ID,cf_stable_bias_monitor_baseline_sim_own_preds_acc,0.917,0.924,0.926,all_ID,all_ID,cf_stable_bias_monitor_baseline_sim_own_preds_acc,0.95,0.938,0.942
all_ID,all_ID,cf_stable_bias_monitor_f1_k-0_CoT-F_cf-sim-xy,0.296,0.386,0.392,all_ID,all_ID,cf_stable_bias_monitor_f1_k-0_CoT-F_cf-sim-xy,0.377,0.309,0.394
all_ID,all_ID,cf_stable_bias_monitor_f1_k-0_CoT-F_cf-sim-xye,0.292,0.839,0.87,all_ID,all_ID,cf_stable_bias_monitor_f1_k-0_CoT-F_cf-sim-xye,0.369,0.804,0.819
all_ID,all_ID,cf_stable_bias_monitor_gmean_k-0_CoT-F_cf-sim-xy,0.42,0.492,0.496,all_ID,all_ID,cf_stable_bias_monitor_gmean_k-0_CoT-F_cf-sim-xy,0.488,0.434,0.498
all_ID,all_ID,cf_stable_bias_monitor_gmean_k-0_CoT-F_cf-sim-xye,0.418,0.86,0.881,all_ID,all_ID,cf_stable_bias_monitor_gmean_k-0_CoT-F_cf-sim-xye,0.479,0.832,0.837
all_ID,all_ID,cf_stable_bias_monitor_precision_k-0_CoT-F_cf-sim-xy,0.806,0.892,0.87,all_ID,all_ID,cf_stable_bias_monitor_precision_k-0_CoT-F_cf-sim-xy,0.767,0.676,0.784
all_ID,all_ID,cf_stable_bias_monitor_precision_k-0_CoT-F_cf-sim-xye,0.758,0.912,0.948,all_ID,all_ID,cf_stable_bias_monitor_precision_k-0_CoT-F_cf-sim-xye,0.861,0.894,0.911
all_ID,all_ID,cf_stable_bias_monitor_recall_k-0_CoT-F_cf-sim-xy,0.181,0.246,0.253,all_ID,all_ID,cf_stable_bias_monitor_recall_k-0_CoT-F_cf-sim-xy,0.25,0.2,0.263
all_ID,all_ID,cf_stable_bias_monitor_recall_k-0_CoT-F_cf-sim-xye,0.181,0.776,0.804,all_ID,all_ID,cf_stable_bias_monitor_recall_k-0_CoT-F_cf-sim-xye,0.235,0.73,0.743
all_ID,all_ID,cf_stable_bias_monitor_yes_rate_k-0_CoT-F_cf-sim-xy,0.086,0.108,0.126,all_ID,all_ID,cf_stable_bias_monitor_yes_rate_k-0_CoT-F_cf-sim-xy,0.126,0.11,0.148
